Face: 60  | Lightmap Offset:11577  | Styles: 0 255 255 255 | Comp.Size:16x8 (384 bytes)
Face: 61  | Lightmap Offset:11961  | Styles: 0 255 255 255 | Comp.Size:16x6 (288 bytes)
Face: 62  | Lightmap Offset:12249  | Styles: 0 255 255 255 | Comp.Size:7x7 (147 bytes)
Face: 63  | Lightmap Offset:12396  | Styles: 0 255 255 255 | Comp.Size:15x7 (315 bytes)
Face: 64  | Lightmap Offset:12711  | Styles: 0 255 255 255 | Comp.Size:15x7 (315 bytes)
Face: 65  | Lightmap Offset:13026  | Styles: 0 255 255 255 | Comp.Size:4x6 (72 bytes)
Face: 66  | Lightmap Offset:13098  | Styles: 0 255 255 255 | Comp.Size:16x6 (288 bytes)
Face: 67  | Lightmap Offset:13386  | Styles: 0 255 255 255 | Comp.Size:10x8 (240 bytes)
Face: 68  | Lightmap Offset:13626  | Styles: 0 255 255 255 | Comp.Size:16x8 (384 bytes)
Face: 69  | Lightmap Offset:14010  | Styles: 0 255 255 255 | Comp.Size:4x5 (60 bytes)
Face: 70  | Lightmap Offset:14070  | Styles: 0 255 255 255 | Comp.Size:16x7 (336 bytes)
Face: 71  | Lightmap Offset:14406  | Styles: 0 255 255 255 | Comp.Size:16x5 (240 bytes)
Face: 72  | Lightmap Offset:14646  | Styles: 0 255 255 255 | Comp.Size:15x4 (180 bytes)
Face: 73  | Lightmap Offset:14826  | Styles: 0 255 255 255 | Comp.Size:15x6 (270 bytes)
Face: 74  | Lightmap Offset:15096  | Styles: 0 255 255 255 | Comp.Size:5x14 (210 bytes)
Face: 75  | Lightmap Offset:15306  | Styles: 0 255 255 255 | Comp.Size:6x8 (144 bytes)
Face: 76  | Lightmap Offset:15450  | Styles: 0 255 255 255 | Comp.Size:8x11 (264 bytes)
Face: 77  | Lightmap Offset:15714  | Styles: 0 255 255 255 | Comp.Size:6x9 (162 bytes)
Face: 78  | Lightmap Offset:15876  | Styles: 0 255 255 255 | Comp.Size:2x3 (18 bytes)
Face: 79  | Lightmap Offset:15894  | Styles: 0 255 255 255 | Comp.Size:7x4 (84 bytes)
Face: 80  | Lightmap Offset:15978  | Styles: 0 255 255 255 | Comp.Size:16x3 (144 bytes)
Face: 81  | Lightmap Offset:16122  | Styles: 0 255 255 255 | Comp.Size:11x3 (99 bytes)
Face: 82  | Lightmap Offset:16221  | Styles: 0 255 255 255 | Comp.Size:7x3 (63 bytes)
Face: 83  | Lightmap Offset:16284  | Styles: 0 255 255 255 | Comp.Size:16x3 (144 bytes)
Face: 84  | Lightmap Offset:16428  | Styles: 0 255 255 255 | Comp.Size:8x3 (72 bytes)
Face: 85  | Lightmap Offset:16500  | Styles: 0 255 255 255 | Comp.Size:7x3 (63 bytes)
Face: 86  | Lightmap Offset:16563  | Styles: 0 255 255 255 | Comp.Size:16x3 (144 bytes)
Face: 87  | Lightmap Offset:16707  | Styles: 0 255 255 255 | Comp.Size:11x3 (99 bytes)
Face: 88  | Lightmap Offset:16806  | Styles: 0 255 255 255 | Comp.Size:7x3 (63 bytes)
Face: 89  | Lightmap Offset:16869  | Styles: 0 255 255 255 | Comp.Size:8x3 (72 bytes)
Face: 90  | Lightmap Offset:16941  | Styles: 0 255 255 255 | Comp.Size:3x3 (27 bytes)
Face: 91  | Lightmap Offset:16968  | Styles: 0 255 255 255 | Comp.Size:8x3 (72 bytes)
Face: 92  | Lightmap Offset:17040  | Styles: 0 255 255 255 | Comp.Size:3x3 (27 bytes)
Face: 93  | Lightmap Offset:17067  | Styles: 0 255 255 255 | Comp.Size:11x3 (99 bytes)
Face: 94  | Lightmap Offset:17166  | Styles: 0 255 255 255 | Comp.Size:13x3 (117 bytes)
Face: 95  | Lightmap Offset:17283  | Styles: 0 255 255 255 | Comp.Size:4x2 (24 bytes)
Face: 96  | Lightmap Offset:17307  | Styles: 0 255 255 255 | Comp.Size:4x3 (36 bytes)
Face: 97  | Lightmap Offset:17343  | Styles: 0 255 255 255 | Comp.Size:10x3 (90 bytes)
Face: 98  | Lightmap Offset:17433  | Styles: 0 255 255 255 | Comp.Size:8x11 (264 bytes)
Face: 99  | Lightmap Offset:17697  | Styles: 0 255 255 255 | Comp.Size:5x2 (30 bytes)
Face: 100  | Lightmap Offset:17727  | Styles: 0 255 255 255 | Comp.Size:9x11 (297 bytes)
Face: 101  | Lightmap Offset:18024  | Styles: 0 255 255 255 | Comp.Size:12x11 (396 bytes)
Face: 102  | Lightmap Offset:18420  | Styles: 0 255 255 255 | Comp.Size:10x11 (330 bytes)
Face: 103  | Lightmap Offset:18750  | Styles: 0 255 255 255 | Comp.Size:3x3 (27 bytes)
Face: 104  | Lightmap Offset:18777  | Styles: 0 255 255 255 | Comp.Size:3x3 (27 bytes)
Face: 105  | Lightmap Offset:18804  | Styles: 0 255 255 255 | Comp.Size:10x11 (330 bytes)
Face: 106  | Lightmap Offset:19134  | Styles: 0 255 255 255 | Comp.Size:7x11 (231 bytes)
Face: 107  | Lightmap Offset:19365  | Styles: 0 255 255 255 | Comp.Size:7x4 (84 bytes)
Face: 108  | Lightmap Offset:19449  | Styles: 0 255 255 255 | Comp.Size:8x2 (48 bytes)
Face: 109  | Lightmap Offset:19497  | Styles: 0 255 255 255 | Comp.Size:3x5 (45 bytes)
Face: 110  | Lightmap Offset:19542  | Styles: 0 255 255 255 | Comp.Size:5x6 (90 bytes)
Face: 111  | Lightmap Offset:19632  | Styles: 0 255 255 255 | Comp.Size:2x2 (12 bytes)
Face: 112  | Lightmap Offset:19644  | Styles: 0 255 255 255 | Comp.Size:2x3 (18 bytes)
Face: 113  | Lightmap Offset:19662  | Styles: 0 255 255 255 | Comp.Size:8x3 (72 bytes)
Face: 114  | Lightmap Offset:19734  | Styles: 0 255 255 255 | Comp.Size:3x7 (63 bytes)
Face: 115  | Lightmap Offset:19797  | Styles: 0 255 255 255 | Comp.Size:8x5 (120 bytes)
Face: 116  | Lightmap Offset:19917  | Styles: 0 255 255 255 | Comp.Size:3x6 (54 bytes)
Face: 117  | Lightmap Offset:19971  | Styles: 0 255 255 255 | Comp.Size:5x6 (90 bytes)
Face: 118  | Lightmap Offset:20061  | Styles: 0 255 255 255 | Comp.Size:6x5 (90 bytes)
Face: 119  | Lightmap Offset:20151  | Styles: 0 255 255 255 | Comp.Size:5x5 (75 bytes)
Face: 120  | Lightmap Offset:20226  | Styles: 0 255 255 255 | Comp.Size:5x5 (75 bytes)
Face: 121  | Lightmap Offset:20301  | Styles: 0 255 255 255 | Comp.Size:4x5 (60 bytes)
Face: 122  | Lightmap Offset:20361  | Styles: 0 255 255 255 | Comp.Size:6x4 (72 bytes)
Face: 123  | Lightmap Offset:20433  | Styles: 0 255 255 255 | Comp.Size:3x7 (63 bytes)
Face: 124  | Lightmap Offset:20496  | Styles: 0 255 255 255 | Comp.Size:3x7 (63 bytes)
Face: 125  | Lightmap Offset:20559  | Styles: 0 255 255 255 | Comp.Size:5x5 (75 bytes)
Face: 126  | Lightmap Offset:20634  | Styles: 0 255 255 255 | Comp.Size:2x2 (12 bytes)
Face: 127  | Lightmap Offset:20646  | Styles: 0 255 255 255 | Comp.Size:3x2 (18 bytes)
Face: 128  | Lightmap Offset:20664  | Styles: 0 255 255 255 | Comp.Size:2x10 (60 bytes)
Face: 129  | Lightmap Offset:20724  | Styles: 0 255 255 255 | Comp.Size:7x7 (147 bytes)
Face: 130  | Lightmap Offset:20871  | Styles: 0 255 255 255 | Comp.Size:10x6 (180 bytes)
Face: 131  | Lightmap Offset:21051  | Styles: 0 255 255 255 | Comp.Size:10x4 (120 bytes)
Face: 132  | Lightmap Offset:21171  | Styles: 0 255 255 255 | Comp.Size:8x4 (96 bytes)
Face: 133  | Lightmap Offset:21267  | Styles: 0 255 255 255 | Comp.Size:14x6 (252 bytes)
Face: 134  | Lightmap Offset:21519  | Styles: 0 255 255 255 | Comp.Size:6x4 (72 bytes)
Face: 135  | Lightmap Offset:21591  | Styles: 0 255 255 255 | Comp.Size:14x6 (252 bytes)
Face: 136  | Lightmap Offset:21843  | Styles: 0 255 255 255 | Comp.Size:12x3 (108 bytes)
Face: 137  | Lightmap Offset:21951  | Styles: 0 255 255 255 | Comp.Size:7x3 (63 bytes)
Face: 138  | Lightmap Offset:22014  | Styles: 0 255 255 255 | Comp.Size:16x3 (144 bytes)
Face: 139  | Lightmap Offset:22158  | Styles: 0 255 255 255 | Comp.Size:8x3 (72 bytes)
Face: 140  | Lightmap Offset:22230  | Styles: 0 255 255 255 | Comp.Size:16x3 (144 bytes)
Face: 141  | Lightmap Offset:22374  | Styles: 0 255 255 255 | Comp.Size:11x3 (99 bytes)
Face: 142  | Lightmap Offset:22473  | Styles: 0 255 255 255 | Comp.Size:7x3 (63 bytes)
Face: 143  | Lightmap Offset:22536  | Styles: 0 255 255 255 | Comp.Size:16x3 (144 bytes)
Face: 144  | Lightmap Offset:22680  | Styles: 0 255 255 255 | Comp.Size:10x3 (90 bytes)
Face: 145  | Lightmap Offset:22770  | Styles: 0 255 255 255 | Comp.Size:14x4 (168 bytes)
Face: 146  | Lightmap Offset:22938  | Styles: 0 255 255 255 | Comp.Size:2x2 (12 bytes)
Face: 147  | Lightmap Offset:22950  | Styles: 0 255 255 255 | Comp.Size:5x5 (75 bytes)
Face: 148  | Lightmap Offset:23025  | Styles: 0 255 255 255 | Comp.Size:2x8 (48 bytes)
Face: 149  | Lightmap Offset:23073  | Styles: 0 255 255 255 | Comp.Size:2x7 (42 bytes)
Face: 150  | Lightmap Offset:23115  | Styles: 0 255 255 255 | Comp.Size:2x2 (12 bytes)
Face: 151  | Lightmap Offset:23127  | Styles: 0 255 255 255 | Comp.Size:2x3 (18 bytes)
Face: 152  | Lightmap Offset:23145  | Styles: 0 255 255 255 | Comp.Size:2x3 (18 bytes)
Face: 153  | Lightmap Offset:23163  | Styles: 0 255 255 255 | Comp.Size:5x7 (105 bytes)
Face: 154  | Lightmap Offset:23268  | Styles: 0 255 255 255 | Comp.Size:16x7 (336 bytes)
Face: 155  | Lightmap Offset:23604  | Styles: 0 255 255 255 | Comp.Size:5x8 (120 bytes)
Face: 156  | Lightmap Offset:23724  | Styles: 0 255 255 255 | Comp.Size:16x8 (384 bytes)
Face: 157  | Lightmap Offset:24108  | Styles: 0 255 255 255 | Comp.Size:5x3 (45 bytes)
